rank,term,tfidf_weight,doc_count,doc_pct
1,vaccination,46.23,343,11.8
2,vaccine,40.69,322,11.1
3,mental,39.56,308,10.6
4,mortality,38.55,334,11.5
5,symptoms,35.76,391,13.5
6,children,33.41,250,8.6
7,viral,33.35,358,12.4
8,healthcare,31.25,418,14.4
9,social,29.44,327,11.3
10,students,28.3,137,4.7
11,hospital,26.62,375,12.9
12,immune,26.02,251,8.7
13,anxiety,25.51,183,6.3
14,adults,24.52,292,10.1
15,influenza,24.51,136,4.7
16,long,24.19,154,5.3
17,stress,24.18,196,6.8
18,virus,23.55,307,10.6
19,cancer,23.44,121,4.2
20,women,23.08,193,6.7
21,quality,22.93,265,9.2
22,vaccines,22.85,233,8.0
23,positive,21.97,378,13.1
24,diseases,21.91,283,9.8
25,severity,21.82,262,9.0
26,nurses,21.74,95,3.3
27,challenges,21.73,337,11.6
28,surveillance,21.72,217,7.5
29,post-covid,21.45,220,7.6
30,management,21.19,316,10.9
