Outcome,Feature,Coef,OR,CI_low,CI_high,p_value
ICU,AGE,-0.025,0.98,0.95,1.0,0.0679
ICU,SEX_MALE,-0.08,0.92,0.9,0.95,0.0
ICU,diabetes,0.055,1.06,1.03,1.08,0.0
ICU,hypertension,0.028,1.03,1.0,1.06,0.045
ICU,obesity,0.112,1.12,1.09,1.15,0.0
ICU,copd,-0.037,0.96,0.94,0.99,0.0044
ICU,asthma,0.032,1.03,1.01,1.06,0.0102
ICU,cardiovascular,0.016,1.02,0.99,1.04,0.2161
ICU,chronic_renal,-0.042,0.96,0.93,0.98,0.0012
ICU,immunosuppressed,0.03,1.03,1.01,1.06,0.0172
ICU,pneumonia,0.611,1.84,1.8,1.89,0.0
ICU,smoking,-0.044,0.96,0.93,0.98,0.0005
MORTALITY,AGE,0.353,1.42,1.39,1.46,0.0
MORTALITY,SEX_MALE,-0.118,0.89,0.87,0.91,0.0
MORTALITY,diabetes,0.139,1.15,1.12,1.18,0.0
MORTALITY,hypertension,0.053,1.05,1.03,1.08,0.0001
MORTALITY,obesity,0.092,1.1,1.07,1.12,0.0
MORTALITY,copd,0.016,1.02,0.99,1.04,0.1929
MORTALITY,asthma,-0.016,0.98,0.96,1.01,0.2116
MORTALITY,cardiovascular,-0.032,0.97,0.95,0.99,0.0119
MORTALITY,chronic_renal,0.093,1.1,1.07,1.13,0.0
MORTALITY,immunosuppressed,0.071,1.07,1.05,1.1,0.0
MORTALITY,pneumonia,0.278,1.32,1.29,1.35,0.0
MORTALITY,smoking,0.024,1.02,1.0,1.05,0.0512
