feature,importance
crp,0.09635443047383244
age_percentile,0.07505792495972695
urea,0.06334161612542047
lymphocytes,0.06311663453541236
temperature,0.05323074783622699
creatinine,0.0482029764994044
neutrophiles,0.04720887351274499
sodium,0.043604342773306055
dbp,0.03918966538387681
leukocytes,0.03886286768204659
heart_rate,0.03825101819322985
d_dimer,0.03637330255532879
ast,0.0359351781015133
platelets,0.03487852112272333
hgb,0.03241504340900322
spo2,0.03129294767886831
sbp,0.02725482287993936
age_65plus,0.02682662160251403
lactate,0.023288316286868675
potassium,0.02324640430693387
glucose,0.022373254135048797
resp_rate,0.02231002747689154
alt,0.02105348964091772
bilirubin,0.015763227912450616
aptt,0.01514289480173702
inr,0.009625266526411104
sex,0.006643843929206173
htn,0.005325578311253284
immunocomp,0.0019472612739600062
albumin,0.0018829000732027903
