feature,coefficient,odds_ratio
SAT_O2,-0.9411821182406388,0.39016633989388716
DM,0.8534395924463685,2.3477081393891592
neuroloska_dg,0.7343707824970017,2.084170183483035
HRI,0.6941439515524224,2.0019945358675626
godine,0.3740943033315438,1.4536742303161054
maligna_Dg,0.28877456534272933,1.3347907865049182
komorbiditeti_bin,0.21667756135284721,1.2419435869604285
pO2,-0.19009122833936823,0.8268836952759717
pol,-0.13755995685151506,0.8714820971080198
HOBP,-0.10550001008469453,0.8998744637718242
vakcinacija,0.0022825124207494713,1.0022851193352857
