feature,coefficient,odds_ratio,abs_coef
HTA,-0.9742114031954504,0.377489923563832,0.9742114031954504
neuroloska_dg,0.8234803613388626,2.278415764539595,0.8234803613388626
DM,0.8160058159162976,2.261449130347118,0.8160058159162976
SAT_O2,-0.76076220167343,0.4673101066878585,0.76076220167343
HRI,0.7194238272381769,2.053249843131731,0.7194238272381769
godine,0.7098773537915791,2.0337418126280333,0.7098773537915791
komorbiditeti_bin,0.6873782665719773,1.9884953884876622,0.6873782665719773
maligna_Dg,0.3965292143479312,1.4866558690221932,0.3965292143479312
pO2,-0.33913423473669113,0.712386815614052,0.33913423473669113
HOBP,-0.04883020307262885,0.9523428208555708,0.04883020307262885
pol,-0.04063880000900804,0.9601758828406909,0.04063880000900804
vakcinacija,-0.0017451741210044,0.9982563478098784,0.0017451741210044
